field_1,lat,long,distance_t,NAME
"71",47.7362000000,-122.1790000000,0.4207837856,Northshore
"72",47.7168000000,-122.2870000000,0.5493043257,Seattle
"73",47.3608000000,-122.0360000000,0.4001064743,Tahoma
"74",47.3511000000,-122.0730000000,0.6302939607,Kent
"75",47.5822000000,-121.9870000000,0.8160269935,Issaquah
"76",47.6034000000,-122.1250000000,0.2015866675,Bellevue
"77",47.5636000000,-122.3940000000,0.1879821253,Seattle
"78",47.7073000000,-122.3400000000,0.6458548642,Seattle
"79",47.3420000000,-122.0250000000,0.6644321805,Tahoma
"80",47.3512000000,-122.0080000000,0.8258055645,Tahoma
"81",47.3490000000,-122.0310000000,0.3118893702,Tahoma
"82",47.5474000000,-122.2910000000,0.2542113335,Seattle
"83",47.4811000000,-122.1490000000,0.1267503627,Renton
"84",47.7264000000,-122.3100000000,0.2184300746,Seattle
"85",47.6337000000,-122.3650000000,0.3566973632,Seattle
"86",47.2909000000,-122.1890000000,0.3833835074,Auburn
"87",47.5228000000,-122.1990000000,0.3775916589,Renton
"88",47.5180000000,-122.1940000000,0.1681077283,Renton
"89",47.5394000000,-122.3870000000,0.0915069522,Seattle
"90",47.2897000000,-122.3720000000,0.7600679159,Federal Way
"91",47.6506000000,-122.3910000000,0.4154466524,Seattle
"92",47.3220000000,-122.3510000000,0.1937116880,Federal Way
"93",47.6870000000,-122.3860000000,0.1466746714,Seattle
"94",47.6870000000,-122.3860000000,0.1466746714,Seattle
"95",47.5873000000,-122.2490000000,1.3678694792,Mercer Island
"96",47.3576000000,-122.2770000000,0.3315692759,Federal Way
"97",47.3036000000,-122.3780000000,0.2578106008,Federal Way
"98",47.4109000000,-121.9580000000,3.2939723779,Tahoma
"99",47.4838000000,-121.7140000000,0.7035858567,Snoqualmie Valley
"100",47.6415000000,-122.3150000000,0.1215824854,Seattle
"101",47.6775000000,-122.3720000000,0.1697551437,Seattle
"102",47.7731000000,-122.0800000000,0.9739703882,Northshore
"103",47.5814000000,-122.1960000000,0.5752032001,Bellevue
"104",47.4375000000,-122.1840000000,0.2406225113,Renton
"105",47.4431000000,-122.1330000000,0.5394984989,Kent
"106",47.6878000000,-122.3800000000,0.4345640000,Seattle
"107",47.3813000000,-122.3220000000,0.7611166265,Highline
"108",47.7304000000,-122.0820000000,0.9963426439,Lake Washington
"109",47.6417000000,-122.1090000000,0.4605047474,Lake Washington
"110",47.5386000000,-122.0530000000,0.3817678987,Issaquah
"111",47.6823000000,-122.3490000000,0.4102190527,Seattle
"112",47.3624000000,-122.0310000000,0.3423822778,Tahoma
"113",47.5474000000,-122.2950000000,0.3411683744,Seattle
"114",47.3183000000,-122.2530000000,0.5264851162,Auburn
"115",47.6981000000,-122.3680000000,0.4574337156,Seattle
"116",47.6824000000,-122.3470000000,0.3408626342,Seattle
"117",47.5009000000,-122.2480000000,0.3837734580,Seattle
"118",47.4965000000,-122.3030000000,0.2669165064,Highline
"119",47.5870000000,-122.2940000000,0.3866261638,Seattle
"120",47.7728000000,-122.3860000000,0.6227350391,Shoreline
"121",47.7288000000,-122.2260000000,0.3634990721,Lake Washington
"122",47.6999000000,-122.3640000000,0.4404528156,Seattle
"123",47.5299000000,-122.2660000000,0.4026933086,Seattle
"124",47.6897000000,-122.0980000000,0.5331708195,Lake Washington
"125",47.6141000000,-122.2120000000,0.6958822945,Bellevue
"126",47.5091000000,-122.2440000000,0.6688143375,Renton
"127",47.3129000000,-122.3900000000,0.2279437550,Federal Way
"128",47.6763000000,-122.3520000000,0.7359995562,Seattle
"129",47.5319000000,-121.8500000000,1.0122734925,Snoqualmie Valley
"130",47.2761000000,-122.1520000000,0.3978410890,Auburn
"131",47.5343000000,-122.0540000000,0.4343736528,Issaquah
"132",47.6970000000,-122.0720000000,0.2255835812,Lake Washington
"133",47.5517000000,-121.9980000000,0.4625738300,Issaquah
"134",47.6734000000,-122.3800000000,0.2423140331,Seattle
"135",47.3257000000,-122.2960000000,0.4597854267,Federal Way
"136",47.3309000000,-122.2990000000,0.1641552702,Federal Way
"137",47.7689000000,-122.2660000000,0.7518310841,Northshore
"138",47.7135000000,-122.2870000000,0.3675812516,Seattle
"139",47.6722000000,-122.3810000000,0.3248380639,Seattle
"140",47.6338000000,-122.3580000000,0.1863646051,Seattle
"141",47.5707000000,-122.1280000000,0.4629172922,Bellevue
"142",47.4563000000,-122.1710000000,0.2490950626,Renton
"143",47.7144000000,-122.3510000000,0.1224914865,Seattle
"144",47.5495000000,-122.1740000000,0.2342999286,Bellevue
"145",47.7421000000,-122.0260000000,0.7958360929,Northshore
"146",47.6354000000,-122.3530000000,0.1798026675,Seattle
"147",47.5262000000,-121.9430000000,2.0265911688,Issaquah
"148",47.3887000000,-122.2860000000,0.5913892629,Federal Way
"149",47.6873000000,-122.3360000000,0.1686041022,Seattle
"150",47.6838000000,-122.3530000000,0.2586287585,Seattle
"151",47.6550000000,-122.3590000000,0.3759400948,Seattle
"152",47.3255000000,-122.3040000000,0.5024069423,Federal Way
"153",47.5620000000,-122.1620000000,0.3487586380,Bellevue
"154",47.6790000000,-122.3000000000,0.2241514895,Seattle
"155",47.4479000000,-122.1760000000,0.4281833790,Renton
"156",47.5250000000,-122.1720000000,0.5622428999,Renton
"157",47.3135000000,-122.3690000000,0.2415770776,Federal Way
"158",47.2086000000,-121.9960000000,0.1387861580,Enumclaw
"159",47.4715000000,-122.1180000000,0.1443818785,Issaquah
"160",47.4877000000,-122.3350000000,0.3000420176,Highline
"161",47.7171000000,-122.1930000000,0.2846067511,Lake Washington
"162",47.6012000000,-122.0230000000,0.4471839240,Issaquah
"163",47.7319000000,-122.2240000000,0.6065211566,Lake Washington
"164",47.4582000000,-122.0230000000,2.0479367136,Issaquah
"165",47.7209000000,-122.1680000000,0.4648063721,Lake Washington
"166",47.4080000000,-122.3270000000,0.2949224784,Highline
"167",47.5650000000,-122.1250000000,0.5563690524,Issaquah
"168",47.7028000000,-122.2310000000,0.9071315648,Lake Washington
"169",47.7458000000,-122.3310000000,0.4320605373,Shoreline
"170",47.4776000000,-122.3370000000,0.2375124743,Highline
"171",47.3026000000,-122.3740000000,0.2720168591,Federal Way
"172",47.7658000000,-122.3390000000,0.2948510700,Shoreline
"173",47.6477000000,-122.1820000000,0.6377525863,Lake Washington
"174",47.5619000000,-122.1250000000,0.3447048290,Issaquah
"175",47.6106000000,-122.3100000000,0.0984138270,Seattle
"176",47.5868000000,-122.3080000000,0.1192436501,Seattle
"177",47.6101000000,-122.3070000000,0.0801970698,Seattle
"178",47.1976000000,-121.9990000000,0.5677614771,Enumclaw
"179",47.7224000000,-122.3580000000,0.2325074971,Seattle
"180",47.3505000000,-122.1790000000,0.3001047808,Kent
"181",47.5384000000,-122.3760000000,0.0368327949,Seattle
"182",47.7044000000,-122.2000000000,0.4294185673,Lake Washington
"183",47.3848000000,-122.0390000000,0.3829045819,Tahoma
"184",47.6993000000,-122.1020000000,0.2697468628,Lake Washington
"185",47.6627000000,-122.1880000000,0.1642060872,Lake Washington
"186",47.3099000000,-122.3790000000,0.6939957670,Federal Way
"187",47.6200000000,-122.0430000000,0.6088591903,Lake Washington
"188",47.6500000000,-122.3400000000,0.5233191521,Seattle
"189",47.6647000000,-122.1530000000,0.4513062397,Lake Washington
"190",47.7260000000,-122.1910000000,0.2335794522,Lake Washington
"191",47.4616000000,-122.1840000000,0.2122076873,Renton
"192",47.5505000000,-122.2190000000,0.2837119201,Mercer Island
"193",47.7606000000,-122.3360000000,0.3856386161,Shoreline
"194",47.7481000000,-122.3000000000,0.2162822086,Shoreline
"195",47.2779000000,-122.3470000000,0.7028291158,Federal Way
"196",47.5511000000,-122.3120000000,0.1219413004,Seattle
"197",47.5488000000,-122.3720000000,0.4910157594,Seattle
"198",47.5385000000,-121.9110000000,1.4850834024,Issaquah
"199",47.4058000000,-121.9940000000,0.9983888675,Tahoma
"200",47.5093000000,-122.1840000000,0.2474704461,Renton
"201",47.3777000000,-122.1650000000,0.2846586943,Kent
"202",47.6750000000,-122.3940000000,0.1358347931,Seattle
"203",47.3025000000,-122.3700000000,0.4965327347,Federal Way
"204",47.4787000000,-122.1580000000,0.5710824945,Renton
"205",47.5378000000,-122.2190000000,0.4363518558,Mercer Island
"206",47.7073000000,-122.1140000000,0.7404381876,Lake Washington
"207",47.5733000000,-122.3810000000,0.3229260646,Seattle
"208",47.4604000000,-122.3390000000,0.1383961985,Highline
"209",47.7067000000,-122.3430000000,0.8096370871,Seattle
"210",47.3540000000,-122.0470000000,0.8898276959,Tahoma
"211",47.6647000000,-122.2840000000,0.3351501012,Seattle
"212",47.6143000000,-122.0170000000,0.3021673785,Lake Washington
"213",47.3185000000,-122.2750000000,0.5926928652,Federal Way
"214",47.5458000000,-122.2680000000,0.0257269710,Seattle
"215",47.4889000000,-122.2990000000,0.2906259396,Highline
"216",47.5673000000,-122.2100000000,0.4508941367,Mercer Island
"217",47.5133000000,-122.3790000000,0.2572869433,Seattle
"218",47.5884000000,-122.2910000000,0.4496618940,Seattle
"219",47.7145000000,-122.3670000000,0.6496179093,Seattle
"220",47.5836000000,-122.0260000000,0.2606488804,Issaquah
"221",47.3980000000,-122.2990000000,0.2454178757,Highline
"222",47.7663000000,-122.2150000000,0.4796270550,Northshore
"223",47.3758000000,-122.2170000000,0.5908170912,Kent
"224",47.3828000000,-122.0230000000,0.7569559743,Tahoma
"225",47.5123000000,-122.3730000000,0.1947581042,Seattle
"226",47.7076000000,-122.0130000000,1.6425628381,Riverview
"227",47.2922000000,-122.3710000000,0.6279549062,Federal Way
"228",47.4075000000,-122.2140000000,0.4630964244,Kent
"229",47.6794000000,-122.0340000000,0.3869764908,Lake Washington
"230",47.4497000000,-122.3750000000,1.0656222100,Highline
"231",47.5218000000,-122.1640000000,0.3396047023,Renton
"232",47.3103000000,-122.3390000000,0.6210835235,Federal Way
"233",47.5687000000,-121.8990000000,0.1472239912,Snoqualmie Valley
"234",47.5575000000,-122.3030000000,0.4791561536,Seattle
"235",47.6489000000,-122.1830000000,0.7320846515,Lake Washington
"236",47.3459000000,-121.9500000000,3.0034750449,Tahoma
"237",47.6136000000,-122.3030000000,0.3761562512,Seattle
"238",47.7641000000,-122.0230000000,1.3158186293,Northshore
"239",47.3376000000,-122.3240000000,0.3142801552,Federal Way
"240",47.3173000000,-122.3190000000,0.3191627107,Federal Way
"241",47.5308000000,-122.3760000000,0.3623774945,Seattle
"242",47.6727000000,-122.2990000000,0.3254405222,Seattle
"243",47.3221000000,-122.2160000000,0.1089548440,Auburn
"244",47.6779000000,-122.3530000000,0.6164598113,Seattle
"245",47.3076000000,-122.3950000000,0.1224784816,Federal Way
"246",47.6338000000,-122.0720000000,0.4121034989,Lake Washington
"247",47.5218000000,-122.3570000000,0.3526347986,Seattle
"248",47.2785000000,-122.2130000000,0.1193527380,Auburn
"249",47.6846000000,-122.3450000000,0.1652989774,Seattle
"250",47.3656000000,-122.2780000000,0.2638452777,Federal Way
"251",47.4369000000,-122.1110000000,0.1465462636,Kent
"252",47.4616000000,-121.7110000000,0.8492342755,Snoqualmie Valley
"253",47.5405000000,-122.2700000000,0.3716938294,Seattle
"254",47.3507000000,-122.1780000000,0.3403726451,Kent
"255",47.6979000000,-122.3200000000,0.0625651891,Seattle
"256",47.5278000000,-122.3450000000,0.2383158840,Seattle
"257",47.4756000000,-122.1470000000,0.4703129327,Renton
"258",47.4437000000,-121.7720000000,2.5335135814,Snoqualmie Valley
"259",47.7048000000,-122.1090000000,0.6930332800,Lake Washington
"260",47.6362000000,-122.3020000000,0.3234326719,Seattle
"261",47.4207000000,-122.2900000000,0.1504382681,Highline
"262",47.6154000000,-122.0470000000,0.7593423076,Lake Washington
"263",47.5964000000,-122.2990000000,0.2352876215,Seattle
"264",47.4683000000,-122.4380000000,1.0544267882,Vashon Island
"265",47.4045000000,-122.1710000000,0.1207010624,Kent
"266",47.5544000000,-122.3580000000,0.4436145354,Seattle
"267",47.6802000000,-122.2900000000,0.0469703680,Seattle
"268",47.2988000000,-122.3710000000,0.3450150078,Federal Way
"269",47.6312000000,-122.2230000000,0.5247962942,Bellevue
"270",47.7285000000,-122.0420000000,0.6208693731,Lake Washington
"271",47.7107000000,-122.3520000000,0.2333947368,Seattle
"272",47.3271000000,-122.3230000000,0.0767901795,Federal Way
"273",47.5053000000,-122.2550000000,0.4447157034,Seattle
"274",47.6601000000,-122.4000000000,0.5168752397,Seattle
"275",47.4145000000,-122.1660000000,0.4024265779,Kent
"276",47.4672000000,-122.1650000000,0.8580505605,Renton
"277",47.7618000000,-122.2610000000,1.0462805570,Northshore
"278",47.3828000000,-122.0710000000,1.4237681463,Tahoma
"279",47.5362000000,-122.2680000000,0.6630150209,Seattle
"280",47.3954000000,-122.2060000000,0.6553962223,Kent
"281",47.5048000000,-122.2720000000,0.5822638883,Seattle
"282",47.6166000000,-122.2870000000,0.1046298738,Seattle
"283",47.6811000000,-122.0250000000,0.5487146388,Lake Washington
"284",47.7486000000,-122.2300000000,0.6898676552,Northshore
"285",47.3846000000,-122.1690000000,0.4428862095,Kent
"286",47.7564000000,-122.1440000000,0.2470800931,Northshore
"287",47.7198000000,-122.1930000000,0.3683277753,Lake Washington
"288",47.5461000000,-122.1510000000,0.9137324397,Bellevue
"289",47.5712000000,-122.1430000000,0.2502566704,Bellevue
"290",47.4281000000,-122.3430000000,0.2202094459,Highline
"291",47.7128000000,-122.2230000000,0.4087618346,Lake Washington
"292",47.3341000000,-122.2550000000,0.2991847244,Federal Way
"293",47.5399000000,-122.1810000000,0.1980836934,Renton
"294",47.5717000000,-122.3750000000,0.6027398866,Seattle
"295",47.5951000000,-122.0170000000,0.9439079363,Issaquah
"296",47.3536000000,-122.1440000000,0.3729392619,Kent
"297",47.5084000000,-122.1540000000,0.4740268556,Renton
"298",47.5586000000,-122.3110000000,0.3855441171,Seattle
"299",47.4427000000,-122.2740000000,0.2935307975,Highline
"300",47.6053000000,-122.0770000000,0.9585725803,Lake Washington
"301",47.3494000000,-122.3010000000,0.4910728442,Federal Way
"302",47.6933000000,-122.3930000000,0.2958680411,Seattle
"303",47.3537000000,-122.0000000000,1.3206093544,Tahoma
"304",47.4760000000,-122.3370000000,0.2754553903,Highline
"305",47.6239000000,-122.2980000000,0.2733585248,Seattle
"306",47.7776000000,-122.3840000000,0.6607695413,Shoreline
"307",47.6459000000,-122.0580000000,0.6505617492,Lake Washington
"308",47.6692000000,-122.2970000000,0.2826332092,Seattle
"309",47.5376000000,-122.1800000000,0.1997541450,Renton
"310",47.6010000000,-122.2940000000,0.1274449411,Seattle
"311",47.5290000000,-121.8370000000,0.3820093755,Snoqualmie Valley
"312",47.6345000000,-122.3670000000,0.4207379399,Seattle
"313",47.5503000000,-122.1020000000,0.6193517887,Issaquah
"314",47.5503000000,-122.1020000000,0.6193517887,Issaquah
"315",47.4441000000,-122.1250000000,0.2860018440,Kent
"316",47.7357000000,-122.3330000000,0.2259248412,Shoreline
"317",47.3460000000,-122.1570000000,0.5879067783,Kent
"318",47.6638000000,-122.3450000000,0.1706327727,Seattle
"319",47.4800000000,-122.3360000000,0.2306362085,Highline
"320",47.6759000000,-122.1510000000,0.6055234881,Lake Washington
"321",47.5162000000,-122.0570000000,1.5125349865,Issaquah
"322",47.2639000000,-122.2520000000,0.5097507118,Auburn
"323",47.2929000000,-122.3710000000,0.5877245045,Federal Way
"324",47.4957000000,-122.3520000000,0.4644231674,Highline
"325",47.4957000000,-122.3520000000,0.4644231674,Highline
"326",47.7721000000,-122.0930000000,1.0803057569,Northshore
"327",47.6440000000,-122.3190000000,0.2170872182,Seattle
"328",47.4720000000,-122.3440000000,0.4683371790,Highline
"329",47.5920000000,-122.1660000000,0.3213767255,Bellevue
"330",47.6690000000,-122.2750000000,0.3714529377,Seattle
"331",47.4200000000,-122.3230000000,0.3825440259,Highline
"332",47.1913000000,-122.0120000000,0.2708190370,Enumclaw
"333",47.6666000000,-122.3310000000,0.2177731115,Seattle
"334",47.5639000000,-122.2170000000,0.4455247572,Mercer Island
"335",47.3483000000,-122.0520000000,1.2013905645,Tahoma
"336",47.7648000000,-122.1640000000,0.2772697180,Northshore
"337",47.6794000000,-122.3570000000,0.4842810455,Seattle
"338",47.7535000000,-122.3540000000,0.2234962538,Shoreline
"339",47.4945000000,-122.2200000000,0.6649913287,Renton
"340",47.6945000000,-122.0930000000,0.5858021382,Lake Washington
"341",47.5222000000,-122.1570000000,0.2948541432,Issaquah
"342",47.7222000000,-122.3200000000,0.2899860277,Seattle
"343",47.3796000000,-122.4900000000,3.2284246117,Vashon Island
"344",47.5374000000,-121.8750000000,0.3411189784,Snoqualmie Valley
"345",47.4897000000,-122.2400000000,0.3353918339,Renton
"346",47.4897000000,-122.2400000000,0.3353918339,Renton
"347",47.4716000000,-122.0780000000,0.8497437414,Issaquah
"348",47.3581000000,-122.1730000000,0.3806769328,Kent
"349",47.7713000000,-122.3070000000,0.3186220464,Shoreline
"350",47.6750000000,-121.8540000000,2.9657448174,Riverview
"351",47.5603000000,-122.2220000000,0.1963305862,Mercer Island
"352",47.4147000000,-122.3370000000,0.7480668461,Highline
"353",47.6800000000,-122.3530000000,0.4800834345,Seattle
"354",47.3117000000,-122.2700000000,0.6021260067,Auburn
"355",47.5430000000,-122.2800000000,0.1685621356,Seattle
"356",47.3607000000,-122.0340000000,0.3205645762,Tahoma
"357",47.5759000000,-122.1370000000,0.3981793653,Bellevue
"358",47.6891000000,-122.1590000000,0.5012709923,Lake Washington
"359",47.5650000000,-122.3810000000,0.1658274304,Seattle
"360",47.6359000000,-121.9740000000,2.2384694356,Snoqualmie Valley
"361",47.4769000000,-122.1410000000,0.4758345844,Renton
"362",47.3845000000,-122.0290000000,0.9408090721,Tahoma
"363",47.6743000000,-122.1840000000,0.1582301662,Lake Washington
"364",47.5651000000,-122.1640000000,0.4068213227,Bellevue
"365",47.4853000000,-121.7090000000,0.8500216458,Snoqualmie Valley
"366",47.4508000000,-122.3590000000,0.5262774348,Highline
"367",47.6375000000,-122.0160000000,0.6482392170,Lake Washington
"368",47.5944000000,-122.0420000000,0.5216032153,Issaquah
"369",47.4888000000,-122.1820000000,0.4630039767,Renton
"370",47.5112000000,-122.1900000000,0.4789603838,Renton
"371",47.7711000000,-122.3410000000,0.1119693437,Shoreline
"372",47.7711000000,-122.3410000000,0.1119693437,Shoreline
"373",47.2813000000,-122.3450000000,0.4499625649,Federal Way
"374",47.5038000000,-122.1890000000,0.2803015398,Renton
"375",47.5823000000,-121.9700000000,0.6337491127,Snoqualmie Valley
"376",47.7164000000,-122.3040000000,0.5453985872,Seattle
"377",47.3624000000,-122.0450000000,0.8264242075,Tahoma
"378",47.6831000000,-122.3290000000,0.2332408410,Seattle
"379",47.5920000000,-122.3070000000,0.2598484048,Seattle
"380",47.7461000000,-122.1950000000,0.2640514501,Northshore
"381",47.7268000000,-122.0600000000,0.9870367781,Lake Washington
"382",47.7237000000,-121.9590000000,0.8785772821,Riverview
"383",47.6283000000,-122.0950000000,0.4081054951,Bellevue
"384",47.5543000000,-122.1480000000,0.4730519187,Bellevue
"385",47.5483000000,-122.2260000000,0.4069553022,Mercer Island
"386",47.7591000000,-122.1460000000,0.3128031961,Northshore
"387",47.4612000000,-122.1690000000,0.4613851198,Renton
"388",47.4987000000,-122.3650000000,0.1389255095,Highline
"389",47.7720000000,-122.3580000000,0.2516082840,Shoreline
"390",47.5287000000,-122.3500000000,0.2480743469,Seattle
"391",47.6109000000,-122.1140000000,0.4722490353,Bellevue
"392",47.7736000000,-121.9010000000,3.4885664321,Riverview
"393",47.6294000000,-122.2180000000,0.3189624997,Bellevue
"394",47.5634000000,-122.2130000000,0.5085683115,Mercer Island
"395",47.7405000000,-122.2410000000,0.4900355261,Northshore
"396",47.5976000000,-122.1180000000,0.3551970327,Bellevue
"397",47.5722000000,-122.1290000000,0.4378374230,Bellevue
"398",47.5644000000,-122.2890000000,0.2824082450,Seattle
"399",47.4556000000,-122.1570000000,0.4328225623,Renton
"400",47.6055000000,-122.3050000000,0.1504646856,Seattle
"401",47.1775000000,-122.0220000000,0.6515359812,Enumclaw
"402",47.6879000000,-122.3850000000,0.2143216503,Seattle
"403",47.4807000000,-121.7790000000,0.5652816559,Snoqualmie Valley
"404",47.3845000000,-122.0320000000,0.7072492947,Tahoma
"405",47.5815000000,-122.4020000000,0.4060389282,Seattle
"406",47.6609000000,-122.3440000000,0.2031975710,Seattle
"407",47.3163000000,-122.1880000000,0.7759829294,Auburn
"408",47.4309000000,-122.1910000000,0.3221015443,Renton
"409",47.4010000000,-122.0260000000,0.5677835617,Tahoma
"410",47.4040000000,-122.1910000000,0.6132139195,Kent
"411",47.3889000000,-122.4820000000,2.4870498598,Vashon Island
"412",47.7718000000,-122.0950000000,1.1174310803,Northshore
"413",47.7067000000,-122.2000000000,0.6110678939,Lake Washington
"414",47.5040000000,-122.2270000000,0.4259955005,Renton
"415",47.7015000000,-122.1640000000,0.2539599360,Lake Washington
"416",47.5753000000,-121.9500000000,1.5434104796,Snoqualmie Valley
"417",47.7448000000,-122.3330000000,0.3227983312,Shoreline
"418",47.7318000000,-121.9820000000,1.0636272695,Riverview
"419",47.5954000000,-121.9500000000,1.1204596836,Snoqualmie Valley
"420",47.6885000000,-122.3370000000,0.1101107017,Seattle
"421",47.5724000000,-122.1790000000,0.4669840663,Bellevue
"422",47.5272000000,-122.1690000000,0.4272822422,Issaquah
"423",47.4334000000,-122.1610000000,0.3677764333,Kent
"424",47.6073000000,-122.3080000000,0.1593138434,Seattle
"425",47.3592000000,-122.0460000000,0.8129115706,Tahoma
"426",47.4546000000,-122.3370000000,0.2166168805,Highline
"427",47.6408000000,-122.2190000000,0.7393442773,Bellevue
"428",47.7245000000,-122.2000000000,0.2020030217,Lake Washington
"429",47.4362000000,-122.1780000000,0.4401449612,Renton
"430",47.3739000000,-122.1560000000,0.1429540001,Kent
"431",47.7205000000,-122.1270000000,0.9864041275,Northshore
"432",47.6636000000,-122.3300000000,0.0716230388,Seattle
"433",47.4324000000,-122.1970000000,0.4854711572,Renton
"434",47.7734000000,-122.2240000000,0.1815476222,Northshore
"435",47.5590000000,-122.1640000000,0.3799158318,Bellevue
"436",47.6330000000,-122.0410000000,0.9615630059,Lake Washington
"437",47.6954000000,-122.1030000000,0.1627755850,Lake Washington
"438",47.6776000000,-122.3180000000,0.2498641435,Seattle
"439",47.5040000000,-122.3820000000,0.4447706939,Seattle
"440",47.2613000000,-122.2550000000,0.7264895621,Auburn
"441",47.3417000000,-122.2710000000,0.4131907930,Federal Way
"442",47.6694000000,-122.2750000000,0.3985972976,Seattle
"443",47.4056000000,-121.9550000000,3.1041606778,Tahoma
"444",47.3838000000,-122.2890000000,0.3919955890,Federal Way
"445",47.7487000000,-122.0820000000,0.2991274324,Northshore
"446",47.5534000000,-122.0780000000,1.5337187844,Issaquah
"447",47.7355000000,-122.1800000000,0.4825968559,Northshore
"448",47.7206000000,-122.2110000000,0.1941517166,Lake Washington
"449",47.7691000000,-122.2620000000,0.6151035829,Northshore
"450",47.7183000000,-122.2580000000,0.8783380275,Lake Washington
"451",47.7736000000,-122.2140000000,0.5148128681,Northshore
"452",47.3620000000,-122.0290000000,0.2993521348,Tahoma
"453",47.5698000000,-122.1210000000,0.5685550393,Issaquah
"454",47.5505000000,-122.2210000000,0.2383835343,Mercer Island
"455",47.7605000000,-122.2340000000,0.8111175549,Northshore
"456",47.7356000000,-122.1570000000,0.6726230697,Northshore
