X,Y,OBJECTID,KC_Fac_FID,KCParkFID,SiteName,SiteType,Owner,OwnerType,Manager,ManageType,Maintd_By,MaintType,Label_Type
-122.464481262322,47.4323890711221,60,8153,3220602,Matsuda Farm,Other Site,Other Private,Private,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.467173052633,47.4314667047731,61,8153,3220602,Matsuda Farm,Other Site,Other Private,Private,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.461099766211,47.406159466021,62,5302,3220702,Marjorie R. Stanley Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.462496244374,47.4046454703097,63,5302,3220702,Marjorie R. Stanley Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.479232586028,47.4187495171547,64,5483,3220703,Paradise Valley Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.473669519079,47.4137188138264,65,5483,3220703,Paradise Valley Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.472321258679,47.4041618641749,66,5483,3220703,Paradise Valley Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2
-122.479201934253,47.4203601077157,67,8162,3220704,Judd Creek Natural Area,Other Site,Other Private,Private,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.469580553185,47.40689338101,68,8162,3220704,Judd Creek Natural Area,Other Site,Other Private,Private,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.440729243946,47.4170939137874,69,5509,3220801,Ellis Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.441739352146,47.4167751044853,70,5509,3220801,Ellis Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.437307156796,47.4127609028703,71,2447,3220901,Tramp Harbor Dock,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,0
-122.437440966552,47.4132029180385,72,2447,3220901,Tramp Harbor Dock,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
-122.376801772594,47.3881774987276,73,2446,3221401,Point Robinson Park,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,0
-122.376933775324,47.3896421774087,74,2446,3221401,Point Robinson Park,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
-122.43391016699,47.3912961643859,75,7306,3221601,Raabs Lagoon Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.43292036544,47.3936448668891,76,7306,3221601,Raabs Lagoon Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.451617086548,47.3883347432667,77,2475,3221701,Burton Acres and Jenson Point,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,0
-122.450695010943,47.3901396818277,78,2475,3221701,Burton Acres and Jenson Point,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
-122.41837762316,47.38772472483,79,2736,3222101,Mileta Creek Preserve,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,0
-122.417382929917,47.3877783327145,80,2736,3222101,Mileta Creek Preserve,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
-122.431266769463,47.3840646586319,81,9250,3222102,Vashon Golf and Country Club Conservation Easement,Other Site,Other Private,Private,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.415233434288,47.3794739261565,82,2453,3222201,Maury Island Marine Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.4038298438,47.3819606692101,83,2453,3222201,Maury Island Marine Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.453154676203,47.3709543928668,84,2455,3222901,Dockton Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.45179790087,47.3698344499187,85,2455,3222901,Dockton Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.45148439647,47.3658303312153,86,5303,3222902,Dockton Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.447070218776,47.3690231318166,87,5303,3222902,Dockton Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.439660599852,47.3725356099016,88,5303,3222902,Dockton Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2
-122.436958431716,47.375540552389,89,5303,3222902,Dockton Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,3
-122.452151185477,47.3680793958175,90,7250,3222904,Dockton Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.446631447949,47.3721254642428,91,7250,3222904,Dockton Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.45859633381,47.3717385532511,92,7250,3222904,Dockton Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2
-122.435680389487,47.3728369697034,93,7808,3222905,Maury Island Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.442403139622,47.3660727117574,94,7808,3222905,Maury Island Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.475384688096,47.3509073244482,95,7256,3223101,Manzanita Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.474471459677,47.3510606360557,96,7256,3223101,Manzanita Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.361893995305,47.5126082056982,97,2486,3230101,North Shorewood Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.385680421638,47.504065092457,98,2761,3230201,Arroyo Heights Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.384821081228,47.5045351030756,99,2761,3230201,Arroyo Heights Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.39438204094,47.5145466202915,100,7211,3230202,Endolyne Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.390025123204,47.5061349721636,101,7212,3230203,Arroyos Natural Area,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.390721857995,47.5069346454367,102,7212,3230203,Arroyos Natural Area,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.386209301901,47.5040916486912,103,7212,3230203,Arroyos Natural Area,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2
-122.4640792205,47.5087154301249,104,2485,3230601,North End Boat Ramp,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,0
-122.464071958578,47.5088157844692,105,2485,3230601,North End Boat Ramp,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
-122.358833612447,47.4928286552946,106,2484,3231201,Salmon Creek Ravine,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,0
-122.35725257328,47.490156032004,107,2484,3231201,Salmon Creek Ravine,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1
-122.353890564241,47.4950715764792,108,2484,3231201,Salmon Creek Ravine,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,2
-122.367758483751,47.4969405784004,109,2483,3231202,Shorewood Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1
-122.376573276618,47.4982960901779,110,2802,3231203,Seola Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.372703707899,47.5023149846615,111,2802,3231203,Seola Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.362255528722,47.4776732084758,112,2482,3231301,Seahurst Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1
-122.480904449074,47.4802821258493,113,2481,3231801,Fern Cove,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,0
-122.481268799867,47.4792682438201,114,2481,3231801,Fern Cove,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
-122.466494315219,47.4791979742642,115,2811,3231802,CBB,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
-122.479084711858,47.4906668665191,116,15340,3231803,Corbin Beach Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.477163946862,47.4906914064896,117,15340,3231803,Corbin Beach Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.472982950514,47.4679507053162,118,7259,3231901,Shinglemill Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.478599581222,47.476245195583,119,7259,3231901,Shinglemill Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2
-122.458394215194,47.470280306419,120,2480,3232001,Whispering Firs Bog,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
-122.356229339647,47.470155052926,121,3076,3232401,Lake Burien School Memorial Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1
-122.366594016471,47.4698436549949,122,7591,3232402,Eagle Landing Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1
-122.372890789153,47.4550495535325,123,7595,3232601,Indian Trail Site,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,0
-122.378951455675,47.4496076196438,124,7595,3232601,Indian Trail Site,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1
-122.458410452766,47.4517290178797,125,2479,3232901,Ober Park,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
-122.440263930643,47.449120446538,126,2823,3232902,Hitchings Property,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,0
-122.440170180623,47.4493985456947,127,2823,3232902,Hitchings Property,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
-122.463367335256,47.4470935910779,128,2478,3233101,Childrens Play Area Park,Other Site,Other Private,Private,Other Private,Private,Other Private,Private,1
-122.473009180493,47.4384267151549,129,5120,3233102,Island Center Forest Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.478002153371,47.4392394575977,130,5120,3233102,Island Center Forest Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.479768093273,47.4428047143716,131,7798,3233104,Island Center Forest Equestrian Trail,Other Site,Other Private,Private,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.472465636708,47.4435049050597,132,8226,3233105,Mukai Barreling Plant,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.442824096585,47.4480822934987,133,7612,3233201,Point Heyer Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.442780178824,47.4388179846153,134,7612,3233201,Point Heyer Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.442356820495,47.4458532108554,135,7612,3233201,Point Heyer Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2
-122.440903125005,47.4425955489755,136,7612,3233201,Point Heyer Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,3
-122.382415786203,47.5928579606593,137,7050,3240201,Don Armeni Boat Ramp,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.386471158226,47.5944549831631,138,7051,3240202,Hamilton Viewpoint Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.385744720244,47.5930229864418,139,7051,3240202,Hamilton Viewpoint Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.407916862948,47.5813606067489,140,2466,3241001,Alki Beach Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.402978056429,47.5769109772587,141,7184,3241002,Schmitz Boulevard,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.405077374463,47.5776305753144,142,7184,3241002,Schmitz Boulevard,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.407312538662,47.5784968504304,143,7185,3241003,Alki Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.377352997532,47.5870817603623,144,7052,3241101,Seacrest Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.378691826466,47.5889689040124,145,7052,3241101,Seacrest Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.384964601534,47.5782728451473,146,7053,3241102,Hiawatha Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.377590901817,47.5805903165334,147,7054,3241103,Belvedere Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.376411595251,47.5807302785972,148,7054,3241103,Belvedere Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.386695045481,47.5856404343371,149,7181,3241104,California Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.396191392948,47.5833187254808,150,7182,3241105,College Street Ravine,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.395061138955,47.5831623744975,151,7182,3241105,College Street Ravine,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.397063010138,47.5795656007879,152,7183,3241106,Nantes Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.37150499465,47.5828346768763,153,7580,3241203,Jack Block Park,Park Site,Port of Seattle,Other Government,Port of Seattle,Other Government,Port of Seattle,Other Government,1
-122.367176994506,47.5658173127781,154,7192,3241301,Longfellow Creek GS: North,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.367126409215,47.566531267375,155,7192,3241301,Longfellow Creek GS: North,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.357632147538,47.5605122592045,156,7193,3241302,Pigeon Point Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.358035629139,47.561558172603,157,7193,3241302,Pigeon Point Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.364369259359,47.562841911348,158,7194,3241303,Delridge Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.373715645368,47.5629711925052,159,7221,3241304,West Seattle Stadium,Stadium Grandstand,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.375094437731,47.5627271840828,160,7221,3241304,West Seattle Stadium,Stadium Grandstand,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.373715645368,47.5629711925052,161,8235,3241304,West Seattle Stadium,Other Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.375094437731,47.5627271840828,162,8235,3241304,West Seattle Stadium,Other Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.355311559598,47.5627150545713,163,8234,3241305,West Duwamish Greenbelt,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.355979074278,47.5656961442017,164,8234,3241305,West Duwamish Greenbelt,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.387166281637,47.5668427962967,165,7061,3241401,Dakota Place Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.385854079642,47.5612661246361,166,7062,3241402,Junction Plaza Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.379833152618,47.5627153193761,167,7232,3241403,Fauntleroy Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.393083848612,47.5615139325622,168,7847,3241404,Ercolini Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.399097390763,47.5715753741755,169,2476,3241501,Schmitz Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.400520061502,47.5745604778405,170,2476,3241501,Schmitz Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.404006531379,47.563167088129,171,2487,3241502,Mee Kwa Mooks Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
