field_1,lat,long,Hub distan,E19013171
"167",47.5650000000,-122.1250000000,,"158909"
"168",47.7028000000,-122.2310000000,,"135200"
"169",47.7458000000,-122.3310000000,,"90806"
"170",47.4776000000,-122.3370000000,,"60989"
"171",47.3026000000,-122.3740000000,,"83442"
"172",47.7658000000,-122.3390000000,,"66734"
"173",47.6477000000,-122.1820000000,,"127708"
"174",47.5619000000,-122.1250000000,,"170119"
"175",47.6106000000,-122.3100000000,,"78846"
"176",47.5868000000,-122.3080000000,,"65255"
"177",47.6101000000,-122.3070000000,,"83090"
"178",47.1976000000,-121.9990000000,,"51559"
"179",47.7224000000,-122.3580000000,,"73792"
"180",47.3505000000,-122.1790000000,,"73610"
"181",47.5384000000,-122.3760000000,,"99706"
"182",47.7044000000,-122.2000000000,,"90270"
"183",47.3848000000,-122.0390000000,,"119466"
"184",47.6993000000,-122.1020000000,,"147525"
"185",47.6627000000,-122.1880000000,,"143920"
"186",47.3099000000,-122.3790000000,,"89736"
"187",47.6200000000,-122.0430000000,,"170063"
"188",47.6500000000,-122.3400000000,,"101270"
"189",47.6647000000,-122.1530000000,,"110625"
"190",47.7260000000,-122.1910000000,,"111497"
"191",47.4616000000,-122.1840000000,,"82222"
"192",47.5505000000,-122.2190000000,,"203313"
"193",47.7606000000,-122.3360000000,,"86750"
"194",47.7481000000,-122.3000000000,,"113438"
"195",47.2779000000,-122.3470000000,,"81054"
"196",47.5511000000,-122.3120000000,,"81979"
"197",47.5488000000,-122.3720000000,,"46731"
"198",47.5385000000,-121.9110000000,,"124252"
"199",47.4058000000,-121.9940000000,,"110063"
"200",47.5093000000,-122.1840000000,,"97250"
"201",47.3777000000,-122.1650000000,,"95313"
"202",47.6750000000,-122.3940000000,,"89375"
"203",47.3025000000,-122.3700000000,,"83442"
"204",47.4787000000,-122.1580000000,,"113682"
"205",47.5378000000,-122.2190000000,,"216488"
"206",47.7073000000,-122.1140000000,,"210341"
"207",47.5733000000,-122.3810000000,,"114212"
"208",47.4604000000,-122.3390000000,,"60482"
"209",47.7067000000,-122.3430000000,,"70250"
"210",47.3540000000,-122.0470000000,,"97041"
"211",47.6647000000,-122.2840000000,,"127373"
"212",47.6143000000,-122.0170000000,,"176375"
"213",47.3185000000,-122.2750000000,,"83264"
"214",47.5458000000,-122.2680000000,,"84491"
"215",47.4889000000,-122.2990000000,,"43646"
"216",47.5673000000,-122.2100000000,,"202827"
"217",47.5133000000,-122.3790000000,,"104474"
"218",47.5884000000,-122.2910000000,,"95075"
"219",47.7145000000,-122.3670000000,,"146750"
"220",47.5836000000,-122.0260000000,,"152059"
"221",47.3980000000,-122.2990000000,,"51048"
"222",47.7663000000,-122.2150000000,,"84362"
"223",47.3758000000,-122.2170000000,,"51362"
"224",47.3828000000,-122.0230000000,,"119466"
"225",47.5123000000,-122.3730000000,,"104474"
"226",47.7076000000,-122.0130000000,,"108080"
"227",47.2922000000,-122.3710000000,,"63897"
"228",47.4075000000,-122.2140000000,,"67423"
"229",47.6794000000,-122.0340000000,,"146596"
"230",47.4497000000,-122.3750000000,,"100077"
"231",47.5218000000,-122.1640000000,,"122063"
"232",47.3103000000,-122.3390000000,,"63158"
"233",47.5687000000,-121.8990000000,,"104776"
"234",47.5575000000,-122.3030000000,,"78407"
"235",47.6489000000,-122.1830000000,,"127708"
"236",47.3459000000,-121.9500000000,,"110139"
"237",47.6136000000,-122.3030000000,,"78846"
"238",47.7641000000,-122.0230000000,,"133603"
"239",47.3376000000,-122.3240000000,,"97372"
"240",47.3173000000,-122.3190000000,,"65302"
"241",47.5308000000,-122.3760000000,,"99706"
"242",47.6727000000,-122.2990000000,,"95463"
"243",47.3221000000,-122.2160000000,,"60558"
"244",47.6779000000,-122.3530000000,,"91806"
"245",47.3076000000,-122.3950000000,,"89736"
"246",47.6338000000,-122.0720000000,,"166591"
"247",47.5218000000,-122.3570000000,,"50285"
"248",47.2785000000,-122.2130000000,,"50926"
"249",47.6846000000,-122.3450000000,,"124107"
"250",47.3656000000,-122.2780000000,,"68762"
"251",47.4369000000,-122.1110000000,,"104330"
"252",47.4616000000,-121.7110000000,,"107044"
"253",47.5405000000,-122.2700000000,,"84491"
"254",47.3507000000,-122.1780000000,,"73610"
"255",47.6979000000,-122.3200000000,,"84395"
"256",47.5278000000,-122.3450000000,,"56629"
"257",47.4756000000,-122.1470000000,,"113682"
"258",47.4437000000,-121.7720000000,,"107044"
"259",47.7048000000,-122.1090000000,,"210341"
"260",47.6362000000,-122.3020000000,,"179922"
"261",47.4207000000,-122.2900000000,,"54879"
"262",47.6154000000,-122.0470000000,,"170063"
"263",47.5964000000,-122.2990000000,,"99167"
"264",47.4683000000,-122.4380000000,,"71444"
"265",47.4045000000,-122.1710000000,,"84271"
"266",47.5544000000,-122.3580000000,,"92756"
"267",47.6802000000,-122.2900000000,,"103333"
"268",47.2988000000,-122.3710000000,,"63897"
"269",47.6312000000,-122.2230000000,,"222500"
"270",47.7285000000,-122.0420000000,,"165000"
"271",47.7107000000,-122.3520000000,,"92059"
"272",47.3271000000,-122.3230000000,,"65302"
"273",47.5053000000,-122.2550000000,,"93862"
"274",47.6601000000,-122.4000000000,,"117449"
"275",47.4145000000,-122.1660000000,,"84271"
"276",47.4672000000,-122.1650000000,,"100461"
"277",47.7618000000,-122.2610000000,,"125339"
"278",47.3828000000,-122.0710000000,,"96250"
"279",47.5362000000,-122.2680000000,,"84491"
"280",47.3954000000,-122.2060000000,,"53056"
"281",47.5048000000,-122.2720000000,,"75040"
"282",47.6166000000,-122.2870000000,,"173438"
"283",47.6811000000,-122.0250000000,,"146596"
"284",47.7486000000,-122.2300000000,,"126269"
"285",47.3846000000,-122.1690000000,,"96917"
"286",47.7564000000,-122.1440000000,,"72569"
"287",47.7198000000,-122.1930000000,,"111497"
"288",47.5461000000,-122.1510000000,,"170119"
"289",47.5712000000,-122.1430000000,,"96471"
"290",47.4281000000,-122.3430000000,,"84964"
"291",47.7128000000,-122.2230000000,,"135200"
"292",47.3341000000,-122.2550000000,,"92632"
"293",47.5399000000,-122.1810000000,,"122647"
"294",47.5717000000,-122.3750000000,,"81066"
"295",47.5951000000,-122.0170000000,,"176375"
"296",47.3536000000,-122.1440000000,,"102639"
"297",47.5084000000,-122.1540000000,,"87448"
"298",47.5586000000,-122.3110000000,,"81979"
"299",47.4427000000,-122.2740000000,,"48212"
"300",47.6053000000,-122.0770000000,,"149743"
"301",47.3494000000,-122.3010000000,,"51689"
"302",47.6933000000,-122.3930000000,,"110139"
"303",47.3537000000,-122.0000000000,,"110139"
"304",47.4760000000,-122.3370000000,,"60989"
"305",47.6239000000,-122.2980000000,,"113397"
"306",47.7776000000,-122.3840000000,,"115058"
"307",47.6459000000,-122.0580000000,,"166591"
"308",47.6692000000,-122.2970000000,,"95463"
"309",47.5376000000,-122.1800000000,,"122647"
"310",47.6010000000,-122.2940000000,,"99167"
"311",47.5290000000,-121.8370000000,,"150943"
"312",47.6345000000,-122.3670000000,,"127702"
"313",47.5503000000,-122.1020000000,,"152560"
"314",47.5503000000,-122.1020000000,,"152560"
"315",47.4441000000,-122.1250000000,,"95658"
"316",47.7357000000,-122.3330000000,,"90806"
"317",47.3460000000,-122.1570000000,,"102639"
"318",47.6638000000,-122.3450000000,,"87112"
"319",47.4800000000,-122.3360000000,,"60989"
"320",47.6759000000,-122.1510000000,,"103112"
"321",47.5162000000,-122.0570000000,,"102806"
"322",47.2639000000,-122.2520000000,,"59924"
"323",47.2929000000,-122.3710000000,,"63897"
"324",47.4957000000,-122.3520000000,,"83919"
"325",47.4957000000,-122.3520000000,,"83919"
"326",47.7721000000,-122.0930000000,,"127434"
"327",47.6440000000,-122.3190000000,,"109055"
"328",47.4720000000,-122.3440000000,,"60482"
"329",47.5920000000,-122.1660000000,,"127200"
"330",47.6690000000,-122.2750000000,,"127373"
"331",47.4200000000,-122.3230000000,,"85598"
"332",47.1913000000,-122.0120000000,,"51559"
"333",47.6666000000,-122.3310000000,,"130909"
"334",47.5639000000,-122.2170000000,,"202827"
"335",47.3483000000,-122.0520000000,,"97041"
"336",47.7648000000,-122.1640000000,,"93750"
"337",47.6794000000,-122.3570000000,,"91806"
"338",47.7535000000,-122.3540000000,,"107544"
"339",47.4945000000,-122.2200000000,,"58335"
"340",47.6945000000,-122.0930000000,,"165000"
"341",47.5222000000,-122.1570000000,,"120231"
"342",47.7222000000,-122.3200000000,,"69790"
"343",47.3796000000,-122.4900000000,,"90487"
"344",47.5374000000,-121.8750000000,,"150943"
"345",47.4897000000,-122.2400000000,,"52242"
"346",47.4897000000,-122.2400000000,,"52242"
"347",47.4716000000,-122.0780000000,,"99722"
"348",47.3581000000,-122.1730000000,,"73610"
"349",47.7713000000,-122.3070000000,,"93811"
"350",47.6750000000,-121.8540000000,,"104583"
"351",47.5603000000,-122.2220000000,,"203313"
"352",47.4147000000,-122.3370000000,,"84964"
"353",47.6800000000,-122.3530000000,,"124107"
"354",47.3117000000,-122.2700000000,,"92632"
"355",47.5430000000,-122.2800000000,,"53295"
"356",47.3607000000,-122.0340000000,,"118548"
"357",47.5759000000,-122.1370000000,,"96471"
"358",47.6891000000,-122.1590000000,,"103112"
"359",47.5650000000,-122.3810000000,,"114212"
"360",47.6359000000,-121.9740000000,,"149688"
"361",47.4769000000,-122.1410000000,,"113682"
"362",47.3845000000,-122.0290000000,,"119466"
"363",47.6743000000,-122.1840000000,,"127750"
"364",47.5651000000,-122.1640000000,,"147450"
"365",47.4853000000,-121.7090000000,,"92377"
"366",47.4508000000,-122.3590000000,,"100077"
"367",47.6375000000,-122.0160000000,,"180761"
"368",47.5944000000,-122.0420000000,,"149743"
"369",47.4888000000,-122.1820000000,,"59952"
"370",47.5112000000,-122.1900000000,,"97250"
"371",47.7711000000,-122.3410000000,,"66734"
"372",47.7711000000,-122.3410000000,,"66734"
"373",47.2813000000,-122.3450000000,,"81054"
"374",47.5038000000,-122.1890000000,,"97250"
"375",47.5823000000,-121.9700000000,,"124252"
"376",47.7164000000,-122.3040000000,,"59807"
"377",47.3624000000,-122.0450000000,,"97688"
"378",47.6831000000,-122.3290000000,,"82268"
"379",47.5920000000,-122.3070000000,,"65255"
"380",47.7461000000,-122.1950000000,,"109943"
"381",47.7268000000,-122.0600000000,,"165000"
"382",47.7237000000,-121.9590000000,,"142738"
"383",47.6283000000,-122.0950000000,,"163032"
"384",47.5543000000,-122.1480000000,,"170119"
"385",47.5483000000,-122.2260000000,,"203313"
"386",47.7591000000,-122.1460000000,,"72569"
"387",47.4612000000,-122.1690000000,,"100461"
"388",47.4987000000,-122.3650000000,,"83919"
"389",47.7720000000,-122.3580000000,,"85398"
"390",47.5287000000,-122.3500000000,,"56629"
"391",47.6109000000,-122.1140000000,,"119567"
"392",47.7736000000,-121.9010000000,,"119813"
"393",47.6294000000,-122.2180000000,,"222500"
"394",47.5634000000,-122.2130000000,,"202827"
"395",47.7405000000,-122.2410000000,,"119653"
"396",47.5976000000,-122.1180000000,,"98805"
"397",47.5722000000,-122.1290000000,,"158909"
"398",47.5644000000,-122.2890000000,,"87188"
"399",47.4556000000,-122.1570000000,,"100461"
"400",47.6055000000,-122.3050000000,,"83090"
"401",47.1775000000,-122.0220000000,,"51559"
"402",47.6879000000,-122.3850000000,,"123698"
"403",47.4807000000,-121.7790000000,,"102348"
"404",47.3845000000,-122.0320000000,,"119466"
"405",47.5815000000,-122.4020000000,,"120189"
"406",47.6609000000,-122.3440000000,,"87112"
"407",47.3163000000,-122.1880000000,,"82917"
"408",47.4309000000,-122.1910000000,,"65799"
"409",47.4010000000,-122.0260000000,,"110063"
"410",47.4040000000,-122.1910000000,,"79158"
"411",47.3889000000,-122.4820000000,,"90487"
"412",47.7718000000,-122.0950000000,,"127434"
"413",47.7067000000,-122.2000000000,,"90270"
"414",47.5040000000,-122.2270000000,,"58335"
"415",47.7015000000,-122.1640000000,,"103112"
"416",47.5753000000,-121.9500000000,,"124252"
"417",47.7448000000,-122.3330000000,,"90806"
"418",47.7318000000,-121.9820000000,,"142738"
"419",47.5954000000,-121.9500000000,,"104583"
"420",47.6885000000,-122.3370000000,,"128292"
"421",47.5724000000,-122.1790000000,,"91938"
"422",47.5272000000,-122.1690000000,,"122063"
"423",47.4334000000,-122.1610000000,,"92531"
"424",47.6073000000,-122.3080000000,,"83090"
"425",47.3592000000,-122.0460000000,,"97688"
"426",47.4546000000,-122.3370000000,,"84964"
"427",47.6408000000,-122.2190000000,,"222500"
"428",47.7245000000,-122.2000000000,,"111497"
"429",47.4362000000,-122.1780000000,,"92531"
"430",47.3739000000,-122.1560000000,,"95313"
"431",47.7205000000,-122.1270000000,,"210341"
"432",47.6636000000,-122.3300000000,,"120318"
"433",47.4324000000,-122.1970000000,,"65799"
"434",47.7734000000,-122.2240000000,,"81796"
"435",47.5590000000,-122.1640000000,,"147450"
"436",47.6330000000,-122.0410000000,,"170063"
"437",47.6954000000,-122.1030000000,,"147525"
"438",47.6776000000,-122.3180000000,,"82268"
"439",47.5040000000,-122.3820000000,,"116836"
"440",47.2613000000,-122.2550000000,,"59924"
"441",47.3417000000,-122.2710000000,,"90133"
"442",47.6694000000,-122.2750000000,,"127373"
"443",47.4056000000,-121.9550000000,,"110063"
"444",47.3838000000,-122.2890000000,,"92782"
"445",47.7487000000,-122.0820000000,,"127434"
"446",47.5534000000,-122.0780000000,,"151820"
"447",47.7355000000,-122.1800000000,,"92333"
"448",47.7206000000,-122.2110000000,,"106391"
"449",47.7691000000,-122.2620000000,,"125339"
"450",47.7183000000,-122.2580000000,,"166786"
"451",47.7736000000,-122.2140000000,,"84362"
"452",47.3620000000,-122.0290000000,,"118548"
"453",47.5698000000,-122.1210000000,,"152560"
"454",47.5505000000,-122.2210000000,,"203313"
"455",47.7605000000,-122.2340000000,,"81796"
"456",47.7356000000,-122.1570000000,,"97670"
"457",47.3844000000,-122.4380000000,,"90487"
"458",47.4904000000,-122.2260000000,,"58335"
"459",47.3663000000,-122.0890000000,,"96250"
"460",47.5637000000,-122.1230000000,,"158909"
"461",47.3759000000,-122.1250000000,,"110551"
"462",47.3912000000,-122.1670000000,,"98889"
"463",47.3305000000,-122.3710000000,,"97372"
"464",47.7617000000,-122.3570000000,,"107544"
"465",47.6499000000,-121.9090000000,,"104583"
"466",47.7311000000,-122.3530000000,,"32262"
"467",47.3701000000,-122.1070000000,,"88791"
"468",47.4857000000,-122.3180000000,,"75449"
"469",47.3724000000,-122.0420000000,,"118548"
"470",47.4855000000,-122.2660000000,,"59225"
"471",47.6336000000,-122.0640000000,,"166591"
"472",47.7170000000,-122.2810000000,,"138224"
"473",47.6332000000,-122.0660000000,,"166591"
"474",47.5906000000,-122.0620000000,,"149743"
"475",47.5461000000,-121.9980000000,,"124252"
"476",47.5674000000,-122.2900000000,,"87188"
"477",47.6943000000,-122.2900000000,,"135088"
"478",47.5486000000,-122.3800000000,,"105896"
"479",47.6658000000,-122.1880000000,,"143920"
"480",47.5772000000,-122.1530000000,,"96471"
"481",47.3875000000,-122.1610000000,,"112050"
"482",47.6344000000,-122.1740000000,,"121250"
"483",47.5275000000,-122.3910000000,,"107201"
"484",47.6179000000,-122.0050000000,,"217574"
"485",47.3078000000,-122.3780000000,,"89736"
"486",47.5521000000,-122.1370000000,,"170119"
"487",47.5158000000,-122.2640000000,,"58827"
"488",47.5985000000,-121.9770000000,,"217574"
"489",47.5645000000,-122.0820000000,,"152750"
"490",47.6734000000,-122.1540000000,,"110625"
"491",47.4734000000,-122.1860000000,,"62953"
"492",47.3811000000,-122.0870000000,,"96250"
"493",47.7081000000,-122.2150000000,,"106391"
"494",47.7193000000,-122.2160000000,,"106391"
"495",47.6192000000,-122.3010000000,,"113397"
"496",47.5836000000,-122.3870000000,,"102569"
"497",47.3841000000,-122.2840000000,,"92782"
"498",47.5872000000,-122.3900000000,,"102569"
"499",47.5322000000,-121.8800000000,,"150943"
"500",47.5416000000,-121.8640000000,,"150943"
"501",47.6799000000,-122.3810000000,,"103470"
"502",47.3672000000,-122.1510000000,,"95313"
"503",47.6840000000,-122.2050000000,,"118382"
"504",47.4404000000,-122.1910000000,,"65799"
"505",47.4467000000,-122.2810000000,,"51006"
"506",47.6729000000,-122.3630000000,,"106172"
"507",47.5346000000,-122.3850000000,,"107201"
"508",47.6454000000,-122.3730000000,,"109567"
"509",47.6821000000,-122.1960000000,,"118382"
"510",47.7206000000,-122.1100000000,,"176607"
"511",47.4877000000,-122.1390000000,,"113682"
"512",47.6554000000,-122.0180000000,,"149688"
"513",47.7343000000,-122.3470000000,,"93036"
"514",47.5789000000,-122.3930000000,,"120189"
"515",47.7439000000,-122.3390000000,,"90806"
"516",47.3818000000,-122.2250000000,,"51362"
"517",47.6734000000,-122.1730000000,,"127750"
"518",47.6415000000,-122.2850000000,,"135956"
"519",47.4711000000,-122.0840000000,,"99722"
"520",47.4520000000,-122.1770000000,,"67985"
"521",47.4973000000,-122.2210000000,,"58335"
"522",47.7546000000,-122.3410000000,,"74643"
"523",47.4667000000,-122.2150000000,,"85031"
"524",47.5186000000,-122.3740000000,,"50285"
"525",47.6221000000,-122.1930000000,,"140026"
"526",47.6830000000,-122.0390000000,,"146596"
"527",47.6033000000,-121.9430000000,,"104583"
"528",47.7315000000,-122.3050000000,,"69790"
"529",47.6917000000,-122.0840000000,,"165000"
"530",47.3608000000,-122.0560000000,,"97688"
"531",47.2852000000,-122.1900000000,,"64802"
"532",47.5931000000,-122.0710000000,,"149743"
"533",47.4097000000,-122.3160000000,,"63692"
"534",47.3105000000,-122.0210000000,,"110139"
"535",47.4296000000,-122.1610000000,,"102566"
"536",47.7373000000,-122.1970000000,,"109943"
"537",47.6582000000,-122.3450000000,,"87112"
"538",47.3577000000,-122.1600000000,,"102639"
"539",47.4490000000,-122.2050000000,,"85031"
"540",47.4169000000,-122.3480000000,,"84964"
"541",47.5025000000,-122.1860000000,,"59952"
"542",47.3644000000,-122.2800000000,,"68762"
"543",47.5896000000,-122.0090000000,,"176375"
"544",47.3914000000,-122.1690000000,,"98889"
"545",47.7197000000,-122.1310000000,,"210341"
"546",47.5623000000,-122.1160000000,,"152560"
"547",47.5213000000,-122.3570000000,,"50285"
"548",47.4518000000,-122.1600000000,,"82222"
"549",47.4949000000,-122.3000000000,,"43646"
"550",47.5885000000,-122.2480000000,,"111950"
"551",47.6452000000,-122.4110000000,,"170031"
"552",47.7490000000,-122.3050000000,,"71607"
"553",47.4727000000,-122.1980000000,,"62953"
"554",47.7403000000,-122.2560000000,,"119653"
"555",47.5146000000,-122.1170000000,,"151820"
"556",47.5666000000,-122.2310000000,,"202827"
"557",47.4339000000,-122.2910000000,,"54879"
"558",47.6368000000,-122.0970000000,,"163032"
"559",47.3628000000,-122.0750000000,,"96250"
"560",47.5200000000,-121.8450000000,,"100260"
"561",47.2953000000,-122.0830000000,,"90781"
"562",47.6935000000,-122.3520000000,,"69596"
"563",47.6239000000,-122.0230000000,,"180761"
"564",47.5846000000,-122.1680000000,,"127200"
"565",47.6969000000,-122.0260000000,,"146596"
"566",47.5050000000,-122.2590000000,,"93862"
"567",47.6670000000,-122.2890000000,,"127373"
"568",47.6376000000,-122.3530000000,,"116111"
"569",47.6929000000,-121.8700000000,,"104583"
"570",47.3572000000,-122.0150000000,,"110139"
"571",47.5816000000,-121.9700000000,,"124252"
"572",47.5502000000,-122.3110000000,,"81979"
"573",47.6136000000,-122.2990000000,,"113397"
"574",47.4478000000,-122.1610000000,,"82222"
"575",47.4219000000,-122.0070000000,,"98274"
"576",47.3521000000,-122.2120000000,,"48019"
"577",47.7466000000,-122.0290000000,,"133603"
"578",47.7727000000,-122.2290000000,,"81796"
"579",47.3062000000,-122.3710000000,,"83442"
"580",47.5422000000,-121.8600000000,,"150943"
